time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-07-21T10:07:40.150Z,37.5791667,-121.9725,8.47,2.66,md,184,23,0.01532,0.15,nc,nc72490876,2017-02-08T04:55:19.080Z,"3km NNE of Fremont, California",earthquake,0.09,0.19,0.136,124,reviewed,nc,nc
2015-07-21T09:56:05.760Z,37.5783333,-121.973,8.17,2.7,md,187,23,0.01532,0.12,nc,nc72490851,2017-02-08T04:54:38.330Z,"3km NNE of Fremont, California",earthquake,0.08,0.17,0.123,124,reviewed,nc,nc
2015-07-21T09:41:14.480Z,37.5776667,-121.974,8.37,3.98,mw,282,16,0.009009,0.17,nc,nc72490826,2017-03-17T23:37:58.288Z,"3km NNE of Fremont, California",earthquake,0.08,0.12,,4,reviewed,nc,nc
2015-04-02T07:06:03.870Z,37.792,-121.9868333,9.89,3.61,mw,232,45,0.006306,0.14,nc,nc72424876,2017-03-17T23:33:26.055Z,"1km NNW of San Ramon, California",earthquake,0.09,0.12,,6,reviewed,nc,nc
2015-04-02T06:46:18.920Z,37.106,-121.8233333,3.64,2.62,md,137,26,0.00991,0.15,nc,nc72424866,2017-02-07T13:05:02.940Z,"8km NNE of Day Valley, California",earthquake,0.11,0.21,0.168,120,reviewed,nc,nc
2015-03-23T16:27:39.900Z,37.2515,-121.9896667,6.11,2.92,md,170,33,0.01982,0.19,nc,nc72416290,2017-02-07T11:41:54.220Z,"1km N of Monte Sereno, California",earthquake,0.11,0.18,0.155,178,reviewed,nc,nc
2015-03-23T15:47:31.470Z,37.2583333,-121.6386667,6.318,2.63,md,104,68,0.02703,0.07,nc,nc72416265,2017-02-07T11:41:23.120Z,"14km N of Morgan Hill, California",earthquake,0.08,0.17,0.16,110,reviewed,nc,nc
2015-03-10T17:07:23.640Z,37.7466667,-122.1441667,4.677,3.04,mw,102,18,0.03784,0.11,nc,nc72408845,2017-02-07T09:50:49.800Z,"2km NNE of San Leandro, California",earthquake,0.09,0.19,,5,reviewed,nc,nc
2015-02-09T02:29:45.770Z,37.6695,-122.0773333,4.723,2.51,md,79,36,0.02793,0.12,nc,nc72393586,2017-02-07T04:58:25.500Z,"0km ENE of Hayward, California",earthquake,0.11,0.2,0.163,85,reviewed,nc,nc
2015-02-06T11:44:24.540Z,37.4548333,-122.2563333,5.216,2.9,ml,100,42,0.004505,0.1,nc,nc72392646,2017-02-07T04:34:23.040Z,"1km SE of Emerald Lake Hills, California",earthquake,0.1,0.11,0.162,50,reviewed,nc,nc
2015-01-31T01:23:36.260Z,37.7525,-122.5533333,7.968,2.64,md,89,96,0.07568,0.04,nc,nc72389391,2017-02-07T03:42:16.390Z,"9km WNW of Daly City, California",earthquake,0.12,0.26,0.145,98,reviewed,nc,nc
2014-12-18T12:32:00.490Z,37.7923333,-121.9843333,9.71,2.52,md,66,52,0.06667,0.08,nc,nc72366381,2017-02-05T10:11:15.580Z,"1km NNW of San Ramon, California",earthquake,0.11,0.18,0.128,85,reviewed,nc,nc
2014-12-07T00:42:01.330Z,37.1616667,-121.5648333,2.537,2.65,md,82,76,0.04955,0.09,nc,nc72361336,2017-02-05T08:44:47.000Z,"8km ENE of Morgan Hill, California",earthquake,0.12,0.37,0.146,111,reviewed,nc,nc
2014-12-04T19:28:37.750Z,37.1075,-121.8128333,3.598,3.19,mw,109,33,0.01712,0.13,nc,nc72360116,2017-02-05T08:22:28.320Z,"9km NNE of Day Valley, California",earthquake,0.11,0.2,,3,reviewed,nc,nc
2014-11-22T21:03:35.850Z,37.3973333,-121.7451667,9.591,2.57,md,100,33,0.03063,0.05,nc,nc72352116,2017-02-05T05:56:38.800Z,"6km ENE of East Foothills, California",earthquake,0.08,0.2,0.138,125,reviewed,nc,nc
2014-11-08T11:13:27.570Z,37.2951667,-122.0833333,9.883,2.84,md,95,47,0.04324,0.11,nc,nc72337440,2017-02-05T02:51:35.180Z,"5km SW of Cupertino, California",earthquake,0.13,0.26,0.103,146,reviewed,nc,nc
2014-10-26T19:45:02.260Z,36.9606667,-121.5936667,4.695,2.54,md,83,24,0.009009,0.11,nc,nc72333586,2017-02-05T01:02:01.250Z,"5km SSW of Gilroy, California",earthquake,0.12,0.27,0.112,122,reviewed,nc,nc
2014-10-18T15:16:46.150Z,37.3743333,-121.7338333,6.101,2.61,md,91,35,0.02793,0.05,nc,nc72329676,2017-02-05T00:01:51.490Z,"7km E of East Foothills, California",earthquake,0.08,0.22,0.119,128,reviewed,nc,nc
2014-10-04T00:14:43.810Z,37.6838333,-121.7293333,2.996,2.99,md,73,107,0.06577,0.1,nc,nc72320181,2017-02-04T21:18:06.130Z,"3km E of Livermore, California",earthquake,0.11,0.22,0.185,152,reviewed,nc,nc
2014-09-30T22:34:04.610Z,37.4691667,-121.7785,6.381,2.64,md,87,68,0.0964,0.05,nc,nc72318071,2017-02-04T20:43:07.260Z,"10km NNE of East Foothills, California",earthquake,0.1,0.4,0.145,103,reviewed,nc,nc
2014-09-06T07:19:14.150Z,37.5811667,-121.9813333,7.58,2.68,md,71,31,0.00991,0.17,nc,nc72292671,2017-02-04T13:44:08.050Z,"3km N of Fremont, California",earthquake,0.15,0.25,0.128,20,reviewed,nc,nc
2014-09-04T03:24:02.240Z,37.4028333,-122.2031667,4.74,2.91,md,178,31,0.01532,0.11,nc,nc72290996,2017-02-04T13:26:50.770Z,"0km NW of Ladera, California",earthquake,0.07,0.11,0.131,157,reviewed,nc,nc
2014-08-11T22:32:57.920Z,36.9785,-121.6268333,3.76,2.59,md,75,36,0.04054,0.08,nc,nc72272175,2017-02-04T09:49:31.880Z,"6km WSW of Gilroy, California",earthquake,0.1,0.27,0.165,105,reviewed,nc,nc
